Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyTextPresent(""Masukkan alamat email"", false)",Chrome 120.0.0.0,"Verify the error message ""Masukkan alamat email""",,2023-12-13 17:43:03,2023-12-13 17:43:04,0.558s,PASSED
closeBrowser(),Chrome 120.0.0.0,Close the browser,,2023-12-13 17:43:04,2023-12-13 17:43:04,0.171s,PASSED
,,,,,,,
Test Cases/Login/Login_using_correct_email_and_wrong_password,Chrome 120.0.0.0,,,2023-12-13 17:43:04,2023-12-13 17:43:18,13.722s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,Open the browser,,2023-12-13 17:43:04,2023-12-13 17:43:05,0.619s,PASSED
maximizeWindow(),Chrome 120.0.0.0,Maximize the window,,2023-12-13 17:43:05,2023-12-13 17:43:05,0.132s,PASSED
navigateToUrl(baseUrl),Chrome 120.0.0.0,Navigate to url H&M,,2023-12-13 17:43:05,2023-12-13 17:43:09,4.325s,PASSED
"click(findTestObject(""menu_pages/btnMenu_masuk_akun""))",Chrome 120.0.0.0,Click button menu (Masuk Akun),,2023-12-13 17:43:09,2023-12-13 17:43:12,2.909s,PASSED
"setText(findTestObject(""login_repos/input_loginUsername""), correct_email)",Chrome 120.0.0.0,Input correct email,,2023-12-13 17:43:12,2023-12-13 17:43:13,1.127s,PASSED
"setText(findTestObject(""login_repos/input_loginPassword""), wrong_password)",Chrome 120.0.0.0,Input wrong password,,2023-12-13 17:43:13,2023-12-13 17:43:14,0.707s,PASSED
"click(findTestObject(""login_repos/button_login""))",Chrome 120.0.0.0,Click button login,,2023-12-13 17:43:14,2023-12-13 17:43:16,1.643s,PASSED
"verifyTextPresent(""Tidak valid login atau kata sandi anda."", false)",Chrome 120.0.0.0,"Verify the error message ""Tidak valid login atau kata sandi anda.""",,2023-12-13 17:43:16,2023-12-13 17:43:18,2.046s,PASSED
closeBrowser(),Chrome 120.0.0.0,Close the browser,,2023-12-13 17:43:18,2023-12-13 17:43:18,0.149s,PASSED
,,,,,,,
Test Cases/Login/Login_using_correct_password_and_wrong_email,Chrome 120.0.0.0,,,2023-12-13 17:43:18,2023-12-13 17:43:31,12.806s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,Open the browser,,2023-12-13 17:43:18,2023-12-13 17:43:19,0.606s,PASSED
maximizeWindow(),Chrome 120.0.0.0,Maximize the window,,2023-12-13 17:43:19,2023-12-13 17:43:19,0.134s,PASSED
navigateToUrl(baseUrl),Chrome 120.0.0.0,Navigate to url H&M,,2023-12-13 17:43:19,2023-12-13 17:43:22,2.946s,PASSED
"click(findTestObject(""menu_pages/btnMenu_masuk_akun""))",Chrome 120.0.0.0,Click button menu (Masuk Akun),,2023-12-13 17:43:22,2023-12-13 17:43:25,3.018s,PASSED
"setText(findTestObject(""login_repos/input_loginUsername""), wrong_email)",Chrome 120.0.0.0,Input wrong email,,2023-12-13 17:43:25,2023-12-13 17:43:26,1.450s,PASSED
"setText(findTestObject(""login_repos/input_loginPassword""), correct_password)",Chrome 120.0.0.0,Input correct password,,2023-12-13 17:43:26,2023-12-13 17:43:27,0.697s,PASSED
"click(findTestObject(""login_repos/button_login""))",Chrome 120.0.0.0,Click button login,,2023-12-13 17:43:27,2023-12-13 17:43:28,1.516s,PASSED
"verifyTextPresent(""Tidak valid login atau kata sandi anda."", false)",Chrome 120.0.0.0,"Verify the error message ""Tidak valid login atau kata sandi anda.""",,2023-12-13 17:43:28,2023-12-13 17:43:31,2.231s,PASSED
closeBrowser(),Chrome 120.0.0.0,Close the browser,,2023-12-13 17:43:31,2023-12-13 17:43:31,0.150s,PASSED
,,,,,,,
Test Cases/Login/Login_without_entering_email_and_password,Chrome 120.0.0.0,,,2023-12-13 17:43:31,2023-12-13 17:43:40,8.861s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,Open the browser,,2023-12-13 17:43:31,2023-12-13 17:43:31,0.662s,PASSED
maximizeWindow(),Chrome 120.0.0.0,Maximize the window,,2023-12-13 17:43:31,2023-12-13 17:43:32,0.138s,PASSED
navigateToUrl(baseUrl),Chrome 120.0.0.0,Navigate to url H&M,,2023-12-13 17:43:32,2023-12-13 17:43:35,2.988s,PASSED
"click(findTestObject(""menu_pages/btnMenu_masuk_akun""))",Chrome 120.0.0.0,Click button menu (Masuk Akun),,2023-12-13 17:43:35,2023-12-13 17:43:37,2.899s,PASSED
"click(findTestObject(""login_repos/button_login""))",Chrome 120.0.0.0,Click button login,,2023-12-13 17:43:37,2023-12-13 17:43:39,1.087s,PASSED
"verifyTextPresent(""Masukkan alamat email"", false)",Chrome 120.0.0.0,"Verify the message error ""Masukkan alamat email""",,2023-12-13 17:43:39,2023-12-13 17:43:39,0.571s,PASSED
